test_id,label,packets,received,lost,pdr_percent,loss_percent,rx_errors,invalid
2714,"2,5 m LOS",300,300,0,100.0,0.0,0,0
2715,"2,5 m TX 90°",300,300,0,100.0,0.0,0,0
2716,"2,5 m RX 90°",300,300,0,100.0,0.0,0,0
2717,"2,5 m Körper",300,300,0,100.0,0.0,0,0
2718,"2,5 m Glas",300,300,0,100.0,0.0,0,0
2724,"7 m NLOS
Wandecke",300,14,286,4.666666666666667,95.33333333333334,243,0
2726,7 m LOS,300,296,4,98.66666666666667,1.3333333333333335,2,0
2728,"8 m LOS
Konfig. A",300,0,300,0.0,100.0,0,0
2731,"8 m LOS
Konfig. A lang",1000,0,1000,0.0,100.0,9,0
2733,"8 m LOS
Konfig. B, Lauf 1",1000,1000,0,100.0,0.0,0,0
2734,"8 m LOS
Konfig. B, Lauf 2",1000,1000,0,100.0,0.0,0,0
2735,8 m Körper,1000,0,1000,0.0,100.0,5,0
2736,8 m Erholung,1000,533,467,53.300000000000004,46.7,314,0
