received_at,elapsed_s,event,test_id,seq,station_id,generation_delta_time,payload_bytes,payload_encoding,asn_type,raw_hex,line,error
2026-07-14T15:35:41.646125+00:00,11.980433,valid,2733,1,2865758209,14403,41,hex,CAM,0202aad000013843005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD000013843005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.667755+00:00,12.002058,valid,2733,2,2865758210,20300,41,hex,CAM,0202aad000024f4c005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD000024F4C005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.689796+00:00,12.024100,valid,2733,3,2865758211,20322,41,hex,CAM,0202aad000034f62005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD000034F62005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.711786+00:00,12.046090,valid,2733,4,2865758212,20343,41,hex,CAM,0202aad000044f77005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD000044F77005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.733745+00:00,12.068051,valid,2733,5,2865758213,20366,41,hex,CAM,0202aad000054f8e005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD000054F8E005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.755742+00:00,12.090044,valid,2733,6,2865758214,20388,41,hex,CAM,0202aad000064fa4005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD000064FA4005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.779298+00:00,12.113611,valid,2733,7,2865758215,20410,41,hex,CAM,0202aad000074fba005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD000074FBA005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.799147+00:00,12.133437,valid,2733,8,2865758216,20431,41,hex,CAM,0202aad000084fcf005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD000084FCF005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.823330+00:00,12.157648,valid,2733,9,2865758217,20454,41,hex,CAM,0202aad000094fe6005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD000094FE6005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.845118+00:00,12.179432,valid,2733,10,2865758218,20476,41,hex,CAM,0202aad0000a4ffc005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD0000A4FFC005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.865677+00:00,12.199980,valid,2733,11,2865758219,20498,41,hex,CAM,0202aad0000b5012005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD0000B5012005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.887640+00:00,12.221944,valid,2733,12,2865758220,20519,41,hex,CAM,0202aad0000c5027005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD0000C5027005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.909690+00:00,12.243994,valid,2733,13,2865758221,20542,41,hex,CAM,0202aad0000d503e005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD0000D503E005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.931554+00:00,12.265849,valid,2733,14,2865758222,20564,41,hex,CAM,0202aad0000e5054005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD0000E5054005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.953670+00:00,12.287972,valid,2733,15,2865758223,20586,41,hex,CAM,0202aad0000f506a005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD0000F506A005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.975647+00:00,12.309949,valid,2733,16,2865758224,20607,41,hex,CAM,0202aad00010507f005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD00010507F005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:41.997744+00:00,12.332048,valid,2733,17,2865758225,20630,41,hex,CAM,0202aad000115096005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD000115096005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:35:42.019690+00:00,12.353993,valid,2733,18,2865758226,20652,41,hex,CAM,0202aad0001250ac005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AAD0001250AC005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
