received_at,elapsed_s,event,test_id,seq,station_id,generation_delta_time,payload_bytes,payload_encoding,asn_type,raw_hex,line,error
2026-07-14T15:45:47.701455+00:00,11.711961,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:47.730136+00:00,11.740635,valid,2736,2,2868903938,36538,41,hex,CAM,0202ab0000028eba005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB0000028EBA005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:47.767409+00:00,11.777909,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:47.789372+00:00,11.799872,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:47.811780+00:00,11.822290,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:47.885429+00:00,11.895941,valid,2736,9,2868903945,36693,41,hex,CAM,0202ab0000098f55005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB0000098F55005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:47.899772+00:00,11.910292,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:47.921763+00:00,11.932283,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.009938+00:00,12.020448,rx_error,,,,,,,,,RX ERROR: 0x180AF07,
2026-07-14T15:45:48.053453+00:00,12.063955,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.075439+00:00,12.085940,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.097416+00:00,12.107917,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.119197+00:00,12.129685,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.141171+00:00,12.151659,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.185161+00:00,12.195650,rx_error,,,,,,,,,RX ERROR: 0x1801307,
2026-07-14T15:45:48.295409+00:00,12.305913,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.339454+00:00,12.349959,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.390048+00:00,12.400547,valid,2736,32,2868903968,37199,41,hex,CAM,0202ab000020914f005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB000020914F005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:48.405844+00:00,12.416358,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.427795+00:00,12.438307,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.449718+00:00,12.460232,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.471593+00:00,12.482098,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.493753+00:00,12.504265,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.515613+00:00,12.526138,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.610898+00:00,12.621410,valid,2736,42,2868903978,37418,41,hex,CAM,0202ab00002a922a005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB00002A922A005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:48.647489+00:00,12.657995,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.676266+00:00,12.686763,valid,2736,45,2868903981,37484,41,hex,CAM,0202ab00002d926c005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB00002D926C005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:48.713618+00:00,12.724152,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.801804+00:00,12.812321,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.845528+00:00,12.856036,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.874771+00:00,12.885273,valid,2736,54,2868903990,37682,41,hex,CAM,0202ab0000369332005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB0000369332005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:48.911425+00:00,12.921927,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.933342+00:00,12.943842,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:48.961913+00:00,12.972411,valid,2736,58,2868903994,37770,41,hex,CAM,0202ab00003a938a005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB00003A938A005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:48.999367+00:00,13.009868,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:49.021290+00:00,13.031790,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:49.049946+00:00,13.060444,valid,2736,62,2868903998,37858,41,hex,CAM,0202ab00003e93e2005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB00003E93E2005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:49.153292+00:00,13.163792,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:49.203863+00:00,13.214365,valid,2736,69,2868904005,38012,41,hex,CAM,0202ab000045947c005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB000045947C005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:49.247849+00:00,13.258349,valid,2736,71,2868904007,38056,41,hex,CAM,0202ab00004794a8005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB00004794A8005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:49.263262+00:00,13.273760,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:49.291897+00:00,13.302396,valid,2736,73,2868904009,38100,41,hex,CAM,0202ab00004994d4005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB00004994D4005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:49.329359+00:00,13.339859,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:49.401338+00:00,13.411838,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:49.707411+00:00,13.717915,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:49.799355+00:00,13.809862,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:49.909670+00:00,13.920189,valid,2736,81,2868904017,38721,41,hex,CAM,0202ab0000519741005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB0000519741005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:50.215386+00:00,14.225904,valid,2736,84,2868904020,39021,41,hex,CAM,0202ab000054986d005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB000054986D005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:50.299345+00:00,14.309846,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:50.509264+00:00,14.519755,valid,2736,87,2868904023,39321,41,hex,CAM,0202ab0000579999005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB0000579999005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:50.605257+00:00,14.615749,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:50.707607+00:00,14.718144,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:50.799201+00:00,14.809693,rx_error,,,,,,,,,RX ERROR: 0x5800107,
2026-07-14T15:45:50.907214+00:00,14.917705,valid,2736,91,2868904027,39721,41,hex,CAM,0202ab00005b9b29005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB00005B9B29005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:51.010836+00:00,15.021341,valid,2736,92,2868904028,39821,41,hex,CAM,0202ab00005c9b8d005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB00005C9B8D005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:51.105507+00:00,15.116018,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
2026-07-14T15:45:51.214129+00:00,15.224629,valid,2736,94,2868904030,40021,41,hex,CAM,0202ab00005e9c55005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB00005E9C55005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:51.299408+00:00,15.309912,rx_error,,,,,,,,,RX ERROR: 0x1801307,
2026-07-14T15:45:51.611988+00:00,15.622493,valid,2736,98,2868904034,40421,41,hex,CAM,0202ab0000629de5005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB0000629DE5005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:51.713134+00:00,15.723624,valid,2736,99,2868904035,40521,41,hex,CAM,0202ab0000639e49005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0202AB0000639E49005A5811460E29EFBF1FFFFFFC2246CD1E00000FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T15:45:51.799326+00:00,15.809834,rx_error,,,,,,,,,RX ERROR: 0x1810F07,
