received_at,elapsed_s,event,test_id,seq,station_id,generation_delta_time,payload_bytes,payload_encoding,asn_type,raw_hex,line,error
2026-07-14T14:23:01.036665+00:00,9.826678,valid,2717,1,2848980993,48105,41,hex,CAM,0202a9d00001bbe9005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00001BBE9005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.058495+00:00,9.848508,valid,2717,2,2848980994,50614,41,hex,CAM,0202a9d00002c5b6005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00002C5B6005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.080395+00:00,9.870392,valid,2717,3,2848980995,50635,41,hex,CAM,0202a9d00003c5cb005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00003C5CB005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.102734+00:00,9.892744,valid,2717,4,2848980996,50658,41,hex,CAM,0202a9d00004c5e2005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00004C5E2005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.124712+00:00,9.914723,valid,2717,5,2848980997,50679,41,hex,CAM,0202a9d00005c5f7005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00005C5F7005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.146579+00:00,9.936590,valid,2717,6,2848980998,50702,41,hex,CAM,0202a9d00006c60e005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00006C60E005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.168687+00:00,9.958695,valid,2717,7,2848980999,50723,41,hex,CAM,0202a9d00007c623005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00007C623005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.190676+00:00,9.980686,valid,2717,8,2848981000,50746,41,hex,CAM,0202a9d00008c63a005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00008C63A005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.212620+00:00,10.002638,valid,2717,9,2848981001,50767,41,hex,CAM,0202a9d00009c64f005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00009C64F005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.234688+00:00,10.024696,valid,2717,10,2848981002,50790,41,hex,CAM,0202a9d0000ac666005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D0000AC666005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.256683+00:00,10.046692,valid,2717,11,2848981003,50811,41,hex,CAM,0202a9d0000bc67b005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D0000BC67B005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.278603+00:00,10.068626,valid,2717,12,2848981004,50834,41,hex,CAM,0202a9d0000cc692005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D0000CC692005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.300813+00:00,10.090838,valid,2717,13,2848981005,50855,41,hex,CAM,0202a9d0000dc6a7005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D0000DC6A7005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.322708+00:00,10.112719,valid,2717,14,2848981006,50878,41,hex,CAM,0202a9d0000ec6be005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D0000EC6BE005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.344700+00:00,10.134710,valid,2717,15,2848981007,50899,41,hex,CAM,0202a9d0000fc6d3005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D0000FC6D3005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.366664+00:00,10.156673,valid,2717,16,2848981008,50922,41,hex,CAM,0202a9d00010c6ea005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00010C6EA005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.388691+00:00,10.178702,valid,2717,17,2848981009,50943,41,hex,CAM,0202a9d00011c6ff005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00011C6FF005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.410686+00:00,10.200696,valid,2717,18,2848981010,50966,41,hex,CAM,0202a9d00012c716005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00012C716005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.432621+00:00,10.222641,valid,2717,19,2848981011,50987,41,hex,CAM,0202a9d00013c72b005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00013C72B005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.455410+00:00,10.245429,valid,2717,20,2848981012,51010,41,hex,CAM,0202a9d00014c742005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00014C742005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.476054+00:00,10.266054,valid,2717,21,2848981013,51031,41,hex,CAM,0202a9d00015c757005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00015C757005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.498661+00:00,10.288672,valid,2717,22,2848981014,51054,41,hex,CAM,0202a9d00016c76e005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00016C76E005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.520610+00:00,10.310625,valid,2717,23,2848981015,51075,41,hex,CAM,0202a9d00017c783005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00017C783005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.541893+00:00,10.331887,valid,2717,24,2848981016,51098,41,hex,CAM,0202a9d00018c79a005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00018C79A005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.564528+00:00,10.354536,valid,2717,25,2848981017,51119,41,hex,CAM,0202a9d00019c7af005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D00019C7AF005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.586932+00:00,10.376946,valid,2717,26,2848981018,51142,41,hex,CAM,0202a9d0001ac7c6005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D0001AC7C6005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.608641+00:00,10.398650,valid,2717,27,2848981019,51163,41,hex,CAM,0202a9d0001bc7db005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D0001BC7DB005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.630606+00:00,10.420625,valid,2717,28,2848981020,51186,41,hex,CAM,0202a9d0001cc7f2005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D0001CC7F2005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:23:01.653157+00:00,10.443168,valid,2717,29,2848981021,51207,41,hex,CAM,0202a9d0001dc807005a581138ce29ef93617c17dc22466a4e00e11fc0007ebfe9ed0737feebfff600,0202A9D0001DC807005A581138CE29EF93617C17DC22466A4E00E11FC0007EBFE9ED0737FEEBFFF600,
