received_at,elapsed_s,event,test_id,seq,station_id,generation_delta_time,payload_bytes,payload_encoding,asn_type,raw_hex,line,error
2026-07-14T14:26:27.998716+00:00,8.843440,valid,2718,1,2850029569,58497,41,hex,CAM,0202a9e00001e481005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E00001E481005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.020387+00:00,8.865100,valid,2718,2,2850029570,60966,41,hex,CAM,0202a9e00002ee26005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E00002EE26005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.042583+00:00,8.887298,valid,2718,3,2850029571,60988,41,hex,CAM,0202a9e00003ee3c005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E00003EE3C005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.066209+00:00,8.910943,valid,2718,4,2850029572,61010,41,hex,CAM,0202a9e00004ee52005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E00004EE52005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.088242+00:00,8.932974,valid,2718,5,2850029573,61032,41,hex,CAM,0202a9e00005ee68005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E00005EE68005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.110140+00:00,8.954871,valid,2718,6,2850029574,61054,41,hex,CAM,0202a9e00006ee7e005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E00006EE7E005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.132264+00:00,8.976998,valid,2718,7,2850029575,61076,41,hex,CAM,0202a9e00007ee94005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E00007EE94005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.153766+00:00,8.998494,valid,2718,8,2850029576,61098,41,hex,CAM,0202a9e00008eeaa005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E00008EEAA005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.175730+00:00,9.020436,valid,2718,9,2850029577,61120,41,hex,CAM,0202a9e00009eec0005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E00009EEC0005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.198116+00:00,9.042848,valid,2718,10,2850029578,61142,41,hex,CAM,0202a9e0000aeed6005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E0000AEED6005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.219611+00:00,9.064350,valid,2718,11,2850029579,61164,41,hex,CAM,0202a9e0000beeec005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E0000BEEEC005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.240482+00:00,9.085196,valid,2718,12,2850029580,61186,41,hex,CAM,0202a9e0000cef02005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E0000CEF02005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.262602+00:00,9.107322,valid,2718,13,2850029581,61208,41,hex,CAM,0202a9e0000def18005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E0000DEF18005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.283629+00:00,9.128337,valid,2718,14,2850029582,61230,41,hex,CAM,0202a9e0000eef2e005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E0000EEF2E005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
2026-07-14T14:26:28.306670+00:00,9.151402,valid,2718,15,2850029583,61252,41,hex,CAM,0202a9e0000fef44005a5811360e29ef936168169c2246690e00e11fc0007ebfe9ed0737feebfff600,0202A9E0000FEF44005A5811360E29EF936168169C2246690E00E11FC0007EBFE9ED0737FEEBFFF600,
