test_id,rate_hz,seq,station_id,sent_at,elapsed_s,generation_delta_time,payload_bytes,raw_hex,tx_ok,tx_ack,tx_latency_ms,serial_error
2724,10,1,2856321025,2026-07-14T15:00:11.977034+00:00,0.000378,53321,41,0202aa400001d049005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6011 rx_latency=1ms tx_dur=1ms,15.857,
2724,10,2,2856321026,2026-07-14T15:00:18.018885+00:00,6.042166,59362,41,0202aa400002e7e2005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6012 rx_latency=1ms tx_dur=1ms,21.076,
2724,10,3,2856321027,2026-07-14T15:00:18.040814+00:00,6.064074,59384,41,0202aa400003e7f8005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6013 rx_latency=1ms tx_dur=1ms,21.611,
2724,10,4,2856321028,2026-07-14T15:00:18.063139+00:00,6.086396,59407,41,0202aa400004e80f005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6014 rx_latency=1ms tx_dur=1ms,20.831,
2724,10,5,2856321029,2026-07-14T15:00:18.084685+00:00,6.107941,59428,41,0202aa400005e824005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6015 rx_latency=1ms tx_dur=1ms,22.088,
2724,10,6,2856321030,2026-07-14T15:00:18.107497+00:00,6.130757,59451,41,0202aa400006e83b005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6016 rx_latency=1ms tx_dur=1ms,20.493,
2724,10,7,2856321031,2026-07-14T15:00:18.128766+00:00,6.152022,59472,41,0202aa400007e850005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6017 rx_latency=1ms tx_dur=1ms,21.995,
2724,10,8,2856321032,2026-07-14T15:00:18.151466+00:00,6.174720,59495,41,0202aa400008e867005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6018 rx_latency=1ms tx_dur=1ms,21.424,
2724,10,9,2856321033,2026-07-14T15:00:18.173619+00:00,6.196875,59517,41,0202aa400009e87d005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6019 rx_latency=1ms tx_dur=1ms,20.892,
2724,10,10,2856321034,2026-07-14T15:00:18.195216+00:00,6.218472,59539,41,0202aa40000ae893005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6020 rx_latency=1ms tx_dur=1ms,21.444,
2724,10,11,2856321035,2026-07-14T15:00:18.217360+00:00,6.240615,59561,41,0202aa40000be8a9005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6021 rx_latency=1ms tx_dur=1ms,20.836,
2724,10,12,2856321036,2026-07-14T15:00:18.238890+00:00,6.262144,59582,41,0202aa40000ce8be005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6022 rx_latency=1ms tx_dur=1ms,21.686,
2724,10,13,2856321037,2026-07-14T15:00:18.261261+00:00,6.284515,59605,41,0202aa40000de8d5005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6023 rx_latency=1ms tx_dur=1ms,20.928,
2724,10,14,2856321038,2026-07-14T15:00:18.282866+00:00,6.306120,59626,41,0202aa40000ee8ea005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6024 rx_latency=1ms tx_dur=1ms,21.467,
2724,10,15,2856321039,2026-07-14T15:00:18.305006+00:00,6.328260,59648,41,0202aa40000fe900005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6025 rx_latency=1ms tx_dur=1ms,21.002,
2724,10,16,2856321040,2026-07-14T15:00:18.326743+00:00,6.350011,59670,41,0202aa400010e916005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6026 rx_latency=1ms tx_dur=1ms,21.254,
2724,10,17,2856321041,2026-07-14T15:00:18.348770+00:00,6.372026,59692,41,0202aa400011e92c005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6027 rx_latency=1ms tx_dur=1ms,22.014,
2724,10,18,2856321042,2026-07-14T15:00:18.371494+00:00,6.394750,59715,41,0202aa400012e943005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6028 rx_latency=1ms tx_dur=1ms,21.390,
2724,10,19,2856321043,2026-07-14T15:00:18.393636+00:00,6.416891,59737,41,0202aa400013e959005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6029 rx_latency=1ms tx_dur=1ms,20.906,
2724,10,20,2856321044,2026-07-14T15:00:18.415246+00:00,6.438504,59759,41,0202aa400014e96f005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6030 rx_latency=1ms tx_dur=1ms,21.451,
2724,10,21,2856321045,2026-07-14T15:00:18.437437+00:00,6.460696,59781,41,0202aa400015e985005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6031 rx_latency=1ms tx_dur=1ms,20.752,
2724,10,22,2856321046,2026-07-14T15:00:18.458908+00:00,6.482163,59802,41,0202aa400016e99a005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6032 rx_latency=1ms tx_dur=1ms,21.681,
2724,10,23,2856321047,2026-07-14T15:00:18.481289+00:00,6.504543,59825,41,0202aa400017e9b1005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6033 rx_latency=1ms tx_dur=1ms,20.915,
2724,10,24,2856321048,2026-07-14T15:00:18.502894+00:00,6.526148,59846,41,0202aa400018e9c6005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6034 rx_latency=1ms tx_dur=1ms,21.469,
2724,10,25,2856321049,2026-07-14T15:00:18.525042+00:00,6.548296,59869,41,0202aa400019e9dd005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6035 rx_latency=1ms tx_dur=1ms,20.930,
2724,10,26,2856321050,2026-07-14T15:00:18.546653+00:00,6.569905,59890,41,0202aa40001ae9f2005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6036 rx_latency=1ms tx_dur=1ms,21.469,
2724,10,27,2856321051,2026-07-14T15:00:18.568835+00:00,6.592098,59912,41,0202aa40001bea08005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6037 rx_latency=1ms tx_dur=1ms,21.632,
2724,10,28,2856321052,2026-07-14T15:00:18.591216+00:00,6.614473,59935,41,0202aa40001cea1f005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6038 rx_latency=1ms tx_dur=1ms,20.784,
2724,10,29,2856321053,2026-07-14T15:00:18.612696+00:00,6.635951,59956,41,0202aa40001dea34005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6039 rx_latency=1ms tx_dur=1ms,22.151,
2724,10,30,2856321054,2026-07-14T15:00:18.635532+00:00,6.658787,59979,41,0202aa40001eea4b005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6040 rx_latency=1ms tx_dur=1ms,20.537,
