test_id,rate_hz,seq,station_id,sent_at,elapsed_s,generation_delta_time,payload_bytes,raw_hex,tx_ok,tx_ack,tx_latency_ms,serial_error
2728,10,1,2860515329,2026-07-14T15:07:31.630680+00:00,0.000380,34222,41,0202aa80000185ae005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9417 rx_latency=1ms tx_dur=1ms,16.705,
2728,10,2,2860515330,2026-07-14T15:07:37.954593+00:00,6.324200,40546,41,0202aa8000029e62005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9418 rx_latency=1ms tx_dur=1ms,20.645,
2728,10,3,2860515331,2026-07-14T15:07:37.975595+00:00,6.345187,40567,41,0202aa8000039e77005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9419 rx_latency=1ms tx_dur=1ms,21.322,
2728,10,4,2860515332,2026-07-14T15:07:37.997199+00:00,6.366787,40589,41,0202aa8000049e8d005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9420 rx_latency=1ms tx_dur=1ms,22.169,
2728,10,5,2860515333,2026-07-14T15:07:38.019653+00:00,6.389243,40611,41,0202aa8000059ea3005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9421 rx_latency=1ms tx_dur=1ms,21.222,
2728,10,6,2860515334,2026-07-14T15:07:38.041184+00:00,6.410780,40633,41,0202aa8000069eb9005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9422 rx_latency=1ms tx_dur=1ms,21.286,
2728,10,7,2860515335,2026-07-14T15:07:38.062773+00:00,6.432362,40654,41,0202aa8000079ece005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9423 rx_latency=1ms tx_dur=1ms,22.156,
2728,10,8,2860515336,2026-07-14T15:07:38.085199+00:00,6.454786,40677,41,0202aa8000089ee5005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9424 rx_latency=1ms tx_dur=1ms,22.175,
2728,10,9,2860515337,2026-07-14T15:07:38.107629+00:00,6.477216,40699,41,0202aa8000099efb005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9425 rx_latency=1ms tx_dur=1ms,21.253,
2728,10,10,2860515338,2026-07-14T15:07:38.129136+00:00,6.498722,40721,41,0202aa80000a9f11005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9426 rx_latency=1ms tx_dur=1ms,21.384,
2728,10,11,2860515339,2026-07-14T15:07:38.150775+00:00,6.520361,40742,41,0202aa80000b9f26005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9427 rx_latency=1ms tx_dur=1ms,22.179,
2728,10,12,2860515340,2026-07-14T15:07:38.173207+00:00,6.542793,40765,41,0202aa80000c9f3d005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9428 rx_latency=1ms tx_dur=1ms,22.182,
2728,10,13,2860515341,2026-07-14T15:07:38.195639+00:00,6.565226,40787,41,0202aa80000d9f53005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9429 rx_latency=1ms tx_dur=1ms,21.258,
2728,10,14,2860515342,2026-07-14T15:07:38.217143+00:00,6.586729,40809,41,0202aa80000e9f69005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9430 rx_latency=1ms tx_dur=1ms,21.392,
2728,10,15,2860515343,2026-07-14T15:07:38.238778+00:00,6.608363,40830,41,0202aa80000f9f7e005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9431 rx_latency=1ms tx_dur=1ms,22.192,
2728,10,16,2860515344,2026-07-14T15:07:38.261215+00:00,6.630800,40853,41,0202aa8000109f95005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9432 rx_latency=1ms tx_dur=1ms,22.185,
