test_id,rate_hz,seq,station_id,sent_at,elapsed_s,generation_delta_time,payload_bytes,raw_hex,tx_ok,tx_ack,tx_latency_ms,serial_error
2721,10,1,2853175297,2026-07-14T14:47:51.006039+00:00,0.000698,33246,41,0202aa10000181de005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.512,
2721,10,2,2853175298,2026-07-14T14:47:57.549561+00:00,6.544129,39789,41,0202aa1000029b6d005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.329,
2721,10,3,2853175299,2026-07-14T14:47:58.050352+00:00,7.044907,40290,41,0202aa1000039d62005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.292,
2721,10,4,2853175300,2026-07-14T14:47:58.551001+00:00,7.545563,40790,41,0202aa1000049f56005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.346,
2721,10,5,2853175301,2026-07-14T14:47:59.051799+00:00,8.046362,41291,41,0202aa100005a14b005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.996,
2721,10,6,2853175302,2026-07-14T14:47:59.553360+00:00,8.547954,41793,41,0202aa100006a341005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.315,
2721,10,7,2853175303,2026-07-14T14:48:00.054699+00:00,9.049288,42294,41,0202aa100007a536005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.496,
2721,10,8,2853175304,2026-07-14T14:48:00.556091+00:00,9.550678,42796,41,0202aa100008a72c005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.403,
2721,10,9,2853175305,2026-07-14T14:48:01.057795+00:00,10.052389,43297,41,0202aa100009a921005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.571,
2721,10,10,2853175306,2026-07-14T14:48:01.559310+00:00,10.553902,43799,41,0202aa10000aab17005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.810,
