test_id,rate_hz,seq,station_id,sent_at,elapsed_s,generation_delta_time,payload_bytes,raw_hex,tx_ok,tx_ack,tx_latency_ms,serial_error
2722,10,1,2854223873,2026-07-14T14:48:36.782049+00:00,0.000322,13486,41,0202aa20000134ae005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=1 rx_latency=1ms tx_dur=1ms,18.931,
2722,10,2,2854223874,2026-07-14T14:48:42.785871+00:00,6.004056,19489,41,0202aa2000024c21005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=2 rx_latency=1ms tx_dur=1ms,21.280,
2722,10,3,2854223875,2026-07-14T14:48:42.807575+00:00,6.025748,19511,41,0202aa2000034c37005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=3 rx_latency=1ms tx_dur=1ms,22.053,
2722,10,4,2854223876,2026-07-14T14:48:42.829968+00:00,6.048144,19533,41,0202aa2000044c4d005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=4 rx_latency=1ms tx_dur=1ms,22.083,
2722,10,5,2854223877,2026-07-14T14:48:42.852422+00:00,6.070593,19556,41,0202aa2000054c64005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=5 rx_latency=1ms tx_dur=1ms,21.280,
2722,10,6,2854223878,2026-07-14T14:48:42.874036+00:00,6.092209,19578,41,0202aa2000064c7a005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6 rx_latency=1ms tx_dur=1ms,21.156,
2722,10,7,2854223879,2026-07-14T14:48:42.895522+00:00,6.113691,19599,41,0202aa2000074c8f005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=7 rx_latency=1ms tx_dur=1ms,22.146,
2722,10,8,2854223880,2026-07-14T14:48:42.917958+00:00,6.136131,19621,41,0202aa2000084ca5005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=8 rx_latency=1ms tx_dur=1ms,22.095,
2722,10,9,2854223881,2026-07-14T14:48:42.940401+00:00,6.158571,19644,41,0202aa2000094cbc005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=9 rx_latency=1ms tx_dur=1ms,21.310,
2722,10,10,2854223882,2026-07-14T14:48:42.962023+00:00,6.180193,19666,41,0202aa20000a4cd2005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=10 rx_latency=1ms tx_dur=1ms,21.652,
