test_id,rate_hz,seq,station_id,sent_at,elapsed_s,generation_delta_time,payload_bytes,raw_hex,tx_ok,tx_ack,tx_latency_ms,serial_error
2725,10,1,2857369601,2026-07-14T15:01:07.284451+00:00,0.000367,43092,41,0202aa500001a854005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6311 rx_latency=1ms tx_dur=1ms,15.533,
2725,10,2,2857369602,2026-07-14T15:01:13.158889+00:00,5.874711,48966,41,0202aa500002bf46005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6312 rx_latency=1ms tx_dur=1ms,22.484,
2725,10,3,2857369603,2026-07-14T15:01:13.181726+00:00,5.897531,48989,41,0202aa500003bf5d005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6313 rx_latency=1ms tx_dur=1ms,21.199,
2725,10,4,2857369604,2026-07-14T15:01:13.203197+00:00,5.918999,49011,41,0202aa500004bf73005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6314 rx_latency=1ms tx_dur=1ms,22.171,
2725,10,5,2857369605,2026-07-14T15:01:13.225624+00:00,5.941426,49033,41,0202aa500005bf89005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6315 rx_latency=1ms tx_dur=1ms,21.108,
2725,10,6,2857369606,2026-07-14T15:01:13.246988+00:00,5.962789,49054,41,0202aa500006bf9e005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6316 rx_latency=1ms tx_dur=1ms,22.460,
2725,10,7,2857369607,2026-07-14T15:01:13.269694+00:00,5.985495,49077,41,0202aa500007bfb5005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6317 rx_latency=1ms tx_dur=1ms,21.254,
2725,10,8,2857369608,2026-07-14T15:01:13.291194+00:00,6.006994,49099,41,0202aa500008bfcb005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6318 rx_latency=1ms tx_dur=1ms,22.190,
2725,10,9,2857369609,2026-07-14T15:01:13.313626+00:00,6.029427,49121,41,0202aa500009bfe1005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6319 rx_latency=1ms tx_dur=1ms,21.718,
2725,10,10,2857369610,2026-07-14T15:01:13.335590+00:00,6.051391,49143,41,0202aa50000abff7005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6320 rx_latency=1ms tx_dur=1ms,21.672,
2725,10,11,2857369611,2026-07-14T15:01:13.357506+00:00,6.073306,49165,41,0202aa50000bc00d005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6321 rx_latency=1ms tx_dur=1ms,21.594,
2725,10,12,2857369612,2026-07-14T15:01:13.379344+00:00,6.095144,49187,41,0202aa50000cc023005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6322 rx_latency=1ms tx_dur=1ms,21.691,
2725,10,13,2857369613,2026-07-14T15:01:13.401282+00:00,6.117085,49209,41,0202aa50000dc039005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6323 rx_latency=1ms tx_dur=1ms,22.165,
2725,10,14,2857369614,2026-07-14T15:01:13.423701+00:00,6.139503,49231,41,0202aa50000ec04f005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6324 rx_latency=1ms tx_dur=1ms,21.251,
2725,10,15,2857369615,2026-07-14T15:01:13.445200+00:00,6.161001,49253,41,0202aa50000fc065005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6325 rx_latency=1ms tx_dur=1ms,21.402,
2725,10,16,2857369616,2026-07-14T15:01:13.466846+00:00,6.182647,49274,41,0202aa500010c07a005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6326 rx_latency=1ms tx_dur=1ms,22.185,
2725,10,17,2857369617,2026-07-14T15:01:13.489275+00:00,6.205076,49297,41,0202aa500011c091005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,1,TX 41 seq=6327 rx_latency=1ms tx_dur=1ms,22.188,
